City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
89,Cherskiy,RU,2.17,68.75,161.3,Gostinitsa
90,Punta Arenas,CL,53.6,-53.15,-70.92,Hotel Dreams Del Estrecho
91,Mar Del Plata,AR,60.8,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
92,Mahibadhoo,MV,81.88,3.78,72.97,Omadhoo Inn
93,Clyde River,CA,12.2,70.47,-68.59,Qamaq Hotel
94,Dharchula,IN,55.69,29.85,80.53,Mahara Hotel
95,Urumqi,CN,35.6,43.8,87.6,Hua Ling Grand Hotel Urumqi
96,Georgetown,MY,78.8,5.41,100.34,Cititel Penang
97,Longyearbyen,SJ,33.8,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
98,Mataura,NZ,54.0,-46.19,168.86,Ellie's Villa
99,Pitimbu,BR,78.8,-7.47,-34.81,Reserva do Abiaí
100,Kahului,US,89.6,20.89,-156.47,Maui Seaside Hotel
101,Nikolskoye,RU,33.8,59.7,30.79,Tourist House - Sablino
102,Talnakh,RU,21.2,69.49,88.4,Talnakh Hotel
103,Astara,AZ,59.0,38.5,48.67,
104,Chuy,UY,54.01,-33.7,-53.46,Nuevo Hotel Plaza
105,Ahipara,NZ,71.15,-35.17,173.17,Ahipara Holiday Park
106,Chokurdakh,RU,0.21,70.63,147.92,
107,Burns Lake,CA,53.6,54.23,-125.75,Burns Lake Bed and Breakfast
108,Baykit,RU,21.74,61.67,96.37,
109,Emba,KZ,44.35,48.83,58.14,
110,Avarua,CK,77.0,-21.21,-159.78,Paradise Inn
111,Hambantota,LK,78.94,6.12,81.12,Bungalow 63
112,Hithadhoo,MV,83.34,-0.6,73.08,Scoop Guest House
113,Coihaique,CL,73.4,-45.58,-72.07,Diego De Almagro Coyhaique
114,Puerto Ayora,EC,71.01,-0.74,-90.35,Finch Bay Galapagos Hotel
115,Upernavik,GL,16.47,72.79,-56.15,Gina's Guesthouse - Upernavik
116,Ginda,IN,50.94,30.69,78.49,Bal uma sankar hotel and restaurant
117,Otradnoye,RU,33.8,59.78,30.82,Baza otdikha Petrushinsky Khutor
